(eemale, ära) ajama	гнать
(sita) junn	говёшка
aabits	азбука
aabits	букварь
Aadam	Адам
äädikas	уксус
aadress	адрес
aadressiraamat	адресная книга
Aafrika	Африка
aafrika	африканский
aafriklane	африканец
aafriklanna	африканка
aaloe	алоэ
äär	край
aarded	сокровища
ääred	поля (на странице)
äärelinn	окраина (города)
Aasia	Азия
aasialik	азиатский
aasta	год
aasta pärast	через год
aasta tagasi	год назад
aastaaeg	время года
aastapäev	годовщина
aatomipomm	атомная бомба
abee	аббат
abi	подмога
abi	помощь
abielu	брак
abielu	брак (семейная жизнь)
abielupaar	пара,чета
abielus	женатый
abielus	замужняя
abikaasa	супруг
abikaasa	супруга
abikaasa (mees)	муж
abikaasa (mees)	супруг
abikaasa (naine)	жена
abikaasa (naine)	супруга
abonent	абонент
abordaaž	абордаж
abort	аборт
abstraktsionism	абстракционизм
abtkond	аббатство
administraator	администратор
admiral	адмирал
advokaat	адвокат
aed	сад
aedmaasikas	клубника
aednik	садовник
aedoad	фасоль
aeg	время
aeglane	медленный
aeglaselt	медленно
aer	весло
aeroobika	аэробика
aevastama	чихать
Afganistan	Афганистан
agentuur	агентство
agressioon	агрессия
agronoom	агроном
ahi	печь (предмет)
ahjupuud	дрова
ähmane	тусклый (о свете)
ahne	жадный (скупой)
ahnus	жадность (скупость)
ahter	корма
ahv	обезьяна
ähvardama	угрожать
ahven	окунь
ahvileivapuu	баобаб
äi	свёкор
aiamaa	огород
aiavärav	калитка
AIDS	СПИД
äike	гроза
aimama	предчувствовать
aimefilm	фантастический фильм
aimekirjandus	научная фантастика
aimekirjandus	фантастика (научная)
aine	вещество
ainulaadne	уникальный
ainult	только
ait	амбар
aitab!	хватит!
aitama	помогать
aitama	помочь
aj uvap ustus	сотрясение мозга
ajajärk	эра
ajakiri	журнал
ajakirjanik	журналист
ajaleht	газета
ajaloolane	историк
ajalugu	история
ajastu	эпоха
ajavahemik	отрезок (времени)
aju	мозг
ajutine	временный
akaatsia	акация
akadeemia	академия
aken	окно
äkki	вдруг
akna juures	у окна
akordion	аккордеон
akrobaat	акробат
akrobaatika	акробатика
aksioom	аксиома
akt vaheaeg	акт, действие антракт
aktsendiga	с акцентом
aktsent	акцент
aktsia	акция
aktsiate kurss	курс акций
aku	аккумулятор
akvaarium	аквариум
akvalang	акваланг
akvarell	акварель (краска)
ala	вид (напр. спорта)
ala	местность
alahindama	недооценивать
alaline	постоянный (работа, адрес)
alandama	унижать
alandus	унижение
alandust taluma	унижаться
alasti	голый
alates	начиная
alati	всегда
alatiseks	навсегда
Albaania	Албания
albaania	албанский
albaanlane	албанец
albaanlanna	албанка
albatross	альбатрос
algaja	чайник
algama	начинаться
algatus	начинание
algebra	алгебра
algupärane	оригинальный
algus	начало
alguses	вначале
alibi	алиби
alkoholism	алкоголизм
alkohoolik	алкоголик
all	под
all	под (внизу)
alla jääma	уступать (в чём-л.)
alla kriipsutama	подчеркнуть
alla laadima	загружать
alla laskma	опускать
alla nulli	ниже нуля
Allah	Аллах
allahindlus	скидка
allalaadimine	скачать (скопировать)
allavoolu	вниз по течению
allee	аллея
allergia	аллергия
alles hoidma	хранить (старые письма)
allikas	источник, родник
allkiri	подпись
allkiri allkirjastama	подпись подписать
allkirjastama	подписать
allkirjastama	подписывать
alluma	подчиниться
alluv	подчинённый (сущ.)
allveelaev	лодка подводная
allveelaev	подводная лодка
allveeujumine	дайвинг
Alpid	Альпы
alpinism	альпинизм
alpinist	альпинист
Altai	Алтай
alumiinium	алюминий
alumiinium-	алюминиевый
alus	подлежащее (лингв.)
alussärk	майка
alustama	начинать
alustass	блюдце
ämber	ведро
ämblik	паук
ämblikuvõrk	паутина
Ambur	Стрелец
Ameerika	Америка
ameerika	американский
ameerika jalgpall	американский футбол
Ameerika Ühendriigid	Соединённые Штаты
ameeriklane	американец
ameeriklanna	американка
ametlik visiit	официальный визит
ametnik	чиновник
ämm	тёща
ämm (meheema)	свекровь
ammu	давно
ammu enne	задолго до ...
ammuma	мычать
amnestia	амнистия
amortisaator	амортизатор
amper	ампер
ampull	ампула
amputeerima	ампутировать
amputeerimine	ампутация
Amsterdam	Амстердам
anakonda	анаконда
analüüs	анализ
analüüsima	анализировать
ananass	ананас
anastaja	захватчик
anastama	захватить
anastama	захватывать
andekas	талантливый
andeks andma	прощать
andeks paluma	просить прощения
andestama	простить
andestama	прощать
Andid	Анды
andma	давать
andma	дать
andmebaas	база данных
andmed	данные
andmed	сведения
andur	датчик
anekdoot	анекдот
angerjas	угорь
angiin	ангина
anglikaan	англиканин
anglikaani kirik	Англиканская церковь
aniis	анис
animafilm	мультфильм
Ankara	Анкара
ankeet	анкета
ankrukett	якорная цепь
ankur	якорь
ankur sisse	поднять якорь
ankur välja	бросить якорь
anna teed	уступи дорогу
anne	талант
Antarktis Arktika	Антарктида Арктика
antenn	антенна
antikvariaat	антиквариат
antiloop	антилопа
antonüüm	антоним
anuma	умолять (просить)
äpardus	неудача (провал)
apelsin	апельсин
apenditsiit	аппендицит
aplaus	аплодисменты
aplodeerima	хлопать (артистам)
apostel	апостол
apostroof	апостроф
aprikoos	абрикос
aprill	апрель
apteek	аптека
ära ajama	прогнать (кого-л.)
ära andma	предать
ära arvama	отгадать
ära eksima	заблудиться
ära jätma	отменить
ära kaduma	исчезнуть
ära kaduma	потеряться
ära koristama	убирать (в шкаф и т.п.)
ära koristama	убирать (спрятать)
ära kuulama	выслушать
ära lendama	улететь (о птице)
ära lõikama	отрезать
ära lööma	удариться
ära määrima	испачкаться
ära märkima	отметить (на карте и т.п.)
ära põletama	жечь, сжигать
ära raiuma	отрубить
ära rebima	оторвать
ära tundma	узнавать (кого-л.)
ära viima	уносить
ära võtma	отнять (деньги и т.п.)
araabia	арабский
Araabia Ühendemiraadid	Объединённые Арабские Эмираты
araablane	араб
araablanna	арабка
äraandja	предатель
ärajätmine	отмена
ärakiri	копия
äratama	разбудить
äratuskell	будильник
arbalett	арбалет
arbuus	арбуз
areen	арена
arendaja	разработчик
arendama	развивать
areng	развитие
arest	арест
arg	трусливый
Argentiina	Аргентина
argentiina	аргентинский
argentiinlane	аргентинец
argentiinlanna	аргентинка
argpüks	трус
argument	аргумент
arheoloog	археолог
arheoloogia	археология
arheoloogiline	а рхеол огически й
arhiiv	архив
arhipelaag	архипелаг
arhitekt	архитектор
arhitektuur	архитектура
ärikeskus	бизнес-центр
ärkama	просыпаться
arm	шрам
armas	милый (любезный)
armastama	любить
armastama	любить (кого-л.)
armastama	любить (напр. спорт)
armastama	любить (человека)
armastus	любовь
armastusväärne	любезный
armatuur	арматура
armatuurlaud	приборный щиток
armukade	ревнивый
armukadetsema	ревновать
armuke	любовник
armuke	любовница
armuma	влюбиться (в ...)
arreteerima	арестовать
ärritama	раздражать
ärritama	сердить
ärrituma	раздражаться
arst	врач
arter	артерия
artikkel	статья
artišokk	артишок
artriit	артрит
ärtu	червы
aru	разум
aru saama	понимать
aruanne	отчёт
arusaadav	понятный (ясный)
arusaamatu	непонятный (~ текст)
arusaamatu	неясный
arusaamatus	недоразумение
arutama	обсуждать
arutelu	обсуждение
arvama	считать (думать)
arvamus	мнение
arve	счёт (в бизнесе)
arve	счёт (в ресторане)
arvele panema	положить на счёт
arvelt võtma	снять со счёта
arvestama	рассчитывать на ...
arvesti	электросчётчик
arvestus	расчёт (прибыли и т.п.)
arvuti	компьютер
arvutispetsialist	компьютерщик
asemele	взамен
asepresident	вице-президент
asesõna	местоимение
asetäitja	заместитель
asetama	положить
asetama	постав
asfalt	асфальт
asi	вещь
asi	дело (занятие)
asi, ese	вещь
asjad	вещи
asjaolu	обстоятельство
aspar	спаржа
äss	туз
assistent	ассистент
assotsiatsioon	ассоциация
aste	степень
asteroid	астероид
astma	астма
astmed	ступени
astronaut	астронавт
astronoom	астроном
astronoomia	астрономия
Ateena	Афины
ateism	атеизм
ateist	атеист
ateljee	ателье
ateljee	мастерская
ateroskleroos	атеросклероз
Atlandi ookean	Атлантический океан
atlas	атлас
atleet	атлет
atleet	атлет (силач)
atmosfäär	атмосфера
atoll	атолл
audititeenused	аудиторские услуги
auditoorium	аудитория (помещение)
auguraud	дырокол
august	август
auhind	приз
auk	дыра
auk	лунка
auk	прокол
auk	яма
aurik	пароход
aus	честный
austaja	поклонник
austama	уважать
austatud	уважаемый
auster	устрица
austerlane	австриец
austerlanna	австрийка
austraalia	австралийский
Austraalia	Австралия
austraallane	австралиец
austraallanna	австралийка
austria	австрийский
Austria	Австрия
austus	уважение
ausus	честность
autasu	награда (медаль и т.п.)
autasustama	наградить (~ медалью)
autasustama	награждать
auto	автомобиль
autoga	на автомобиле
autogramm	автограф
autojuht	водитель
autojuht	шофёр
automaat	автомат
automaatne	автоматический
automaatvastaja	автоответчик
autonumber	номер (авто)
autoportree	автопортрет
autor	автор
autoremonditöökoda	автосервис
autovõidusõit	автогонки
aval	открытый (человек)
avalik	публичный
avama	открывать
avama	открывать (банку и т.п.)
avama	открыть
avameelne	откровенный
avameelselt	откровенно
avar	просторный
avarii	авария
avariikolmnurk	аварийный треугольник
avariituled	аварийные огни
avastama	обнаружить
avastama	открывать (новые земли)
avastama	открыть
avastus	открытие (в науке)
avatud	открытый
avokaado	авокадо
baar	бар
baarimees	бармен
baas	база (основа)
Bagdad	Багдад
Bahama saared	Багамские острова
bait	байт
